Route No,Council District,Time Start,Time End,Boundaries
12P289 Th,5,10:00 AM,12:00 PM,Hughes Ave to Kelton Ave-National Blvd to Venice Blvd
12P289 W,5,10:00 AM,12:00 PM,Hughes Ave to Kelton Ave-National Blvd to Venice Blvd
12P290 M,5,8:00 AM,10:00 AM,Exposition Blvd to Queensland St-Overland Ave to Sepulveda Blvd
12P290 Tu,5,8:00 AM,10:00 AM,Exposition Blvd to Queensland St-Overland Ave to Sepulveda Blvd
12P348 M,5,10:00 AM,12:00 PM,Pico Blvd to Cresta Dr-Canfield Ave to Peg Pl
12P348 Tu,5,10:00 AM,12:00 PM,Pico Blvd to Cresta Dr-Canfield Ave to Peg Pl
12P349 M,5,10:00 AM,12:00 PM,Pico Blvd to Richland Ave-Patricia Ave to Military Ave
12P349 Tu,5,10:00 AM,12:00 PM,Pico Blvd to Richland Ave-Patricia Ave to Military Ave
12P350 M,11,8:00 AM,10:00 AM,Pico Bl to Venice Bl- Sawtelle to Inglewood Bl-Various 
12P350 Tu,11,8:00 AM,10:00 AM,Pico Bl to Venice Bl- Sawtelle to Inglewood Bl-Various 
12P351 Th,11,1:00 PM,3:00 PM,Santa Monica City Limits to Palms Blvd-Penmar Ave to Lincoln Bl
12P351 W,11,1:00 PM,3:00 PM,Santa Monica City Limits to Palms Blvd-Penmar Ave to Lincoln Bl
12P352 M,11,8:30 AM,10:30 AM,N. Venice Blvd to Washington St-Abbot Kinney Blvd to Pacific Ave
12P352 Tu,11,8:30 AM,10:30 AM,N. Venice Blvd to Washington St-Abbot Kinney Blvd to Pacific Ave
12P353 M,11,11:00 AM,1:00 PM,S. Venice Blvd to Pacific Ave-Ocean Front Walk to Marine St
12P353 Tu,11,11:00 AM,1:00 PM,S. Venice Blvd to Pacific Ave-Ocean Front Walk to Marine St
12P354 M,11,10:00 AM,12:00 PM,Marine St to Venice Blvd-Lincoln Blvd to Pacific Ave
12P354 Tu,11,10:00 AM,12:00 PM,Marine St to Venice Blvd-Lincoln Blvd to Pacific Ave
12P355 M,11,10:00 AM,12:00 PM,Washington St to Via Marina-Via Mar to Ocean Front Walk
12P355 Tu,11,10:00 AM,12:00 pm,Washington St to Via Marina-Via Mar to Ocean Front Walk
12P356 M,11,7:30 AM,9:30 AM,N. Venice Blvd to Washington St-Abbot Kinney Blvd to Speedway
12P356 Tu,11,7:30 AM,9:30 AM,N. Venice Blvd to Washington St-Abbot Kinney Blvd to Speedway
12P401 M,11,8:00 AM,11:30 AM,Pico Bl to National Bl- San Diego Fwy to Bundy
12P401 Tu,11,8:00 AM,11:30 AM,Pico Bl to National Bl- San Diego Fwy to Bundy
13P115 F,11,12:00 PM,3:00 PM,Exposition bl.- pico bl. To wilshire bl.to nebraska/barrington av. To carmelina- bundy dr. to centinela
13P115 Th,11,12:00 PM,3:00 PM,Exposition bl.- pico bl. To wilshire bl.to nebraska/barrington av. To carmelina- bundy dr. to centinela
