SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,ParkingPolicy,StreetCleaning,LatLng
HP42A,5600 FIGUEROA ST,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.109123, -118.193511)"
SC686,13201 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.146278, -118.42007)"
LP283,4301 DEGNAN BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.004743, -118.331587)"
SL139,2901 ROWENA AV,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.108602, -118.268873)"
VN149,14500 HAYNES ST,Single-Space,FLAT,$0.50,2HR,8A-8P Mon-Sat,8A-10A Tue,"(34.189637, -118.449047)"
SW308A,600 LUCERNE BL,Single-Space,FLAT,$1.00,2HR,PKG 8A-11P Mon-Sat | NP 11P-8A Nightly,12P-3P Tue,"(34.083292, -118.324785)"
SO840,13400 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.146923, -118.425205)"
WW2192B,2200 CAMBRIDGE ST,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,8A-10A Thu,"(34.044457, -118.308598)"
WA438,1900 8TH ST,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.053944, -118.275957)"
WB135,2000 HILL ST,Single-Space,TOD,$0.5 - $2,4HR,8A-6P Mon-Sat,,"(34.030649, -118.267515)"
CB3302,401 W. 9TH ST,Single-Space,TOD,$0.5 - $2,4HR,"TANS 7A-9A, 3P-7P Mon-Fri | PKG 9A-3P Mon-Fri, 8A-8P Sat",,"(34.044043, -118.258544)"
LC383,300 LA CIENEGA BL,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.077633, -118.376471)"
W205,10000 S GLASGOW PL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(33.944513, -118.370988)"
PM292,8700 VENICE BL,Single-Space,FLAT,$1.00,2HR,8A-8P Daily,,"(34.031435, -118.384263)"
TZ411,19000 VENTURA BL,Single-Space,FLAT,$1.00,2HR,TANS 6A-9A Mon-Fri | PKG 9A-8P Mon-Sat,,"(34.172445, -118.549286)"
WW2641,3401 SAN MARINO ST,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,10A-1P Thu,"(34.054506, -118.308413)"
