SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,ParkingPolicy,StreetCleaning,LatLng
WA1579,1201 UNION AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,8A-10A Fri,"(34.04525, -118.276767)"
WF225,300 LA JOLLA AV,Single-Space,FLAT,$1.00,15MIN,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.072174, -118.367867)"
LH107,2801 BROADWAY,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,,"(34.073787, -118.212713)"
SV781A,1201 HIGHLAND AV,Single-Space,FLAT,$0.50,2HR,"TANS 7A-9A, 3P-7P Mon-Fri | PKG 9A-3P Mon-Fri, 8A-8P Sat, 11A-8P Sun",,"(34.093495, -118.338742)"
CB1795,1100 S SANTEE ST,Single-Space,TOD,$1.5 - $4,2HR,"8A-6P Mon-Sat, 11A-6P Sun",,"(34.037168, -118.25654)"
NH376,5301 LANKERSHIM BL,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.167428, -118.37632)"
SW11,5600 SANTA MONICA BL,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.090681, -118.311891)"
TZ578,18700 PHILIPRIMM ST,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.172983, -118.541878)"
VN294,14501 FRIAR ST,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,8A-10A Tue,"(34.185731, -118.450403)"
SV742,1401 MANSFIELD AV,Single-Space,FLAT,$0.50,2HR,"8A-8P Mon-Sat, 11A-8P Sun",12P-3P Tue,"(34.097444, -118.340547)"
LM234,701 LA BREA AV,Single-Space,FLAT,$1.00,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat, 11A-8P Sun",,"(34.084705, -118.344178)"
EN26,4600 FIRMAMENT AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,8A-10A Mon,"(34.155307, -118.472591)"
BF675,600 HARPER AV,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",8A-10A Tue,"(34.083371, -118.369008)"
WA446,1800 8TH ST,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.05351, -118.275002)"
CB2614,401 E. 8TH ST,Single-Space,TOD,$0.5 - $6,2HR,8A-6P Mon-Sat,,"(34.040455, -118.250618)"
WSV242A,1200 WESTGATE AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,10A-12P Thu,"(34.047158, -118.463219)"
WV683B,10801 WEYBURN AV,Single-Space,TOD,$1.5 - $2,2HR,"8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,"(34.062503, -118.44371)"
WP66,100 WASHINGTON BL (S),Single-Space,FLAT,$2.00,1HR,8A-6P Daily,730A-930A Mon,"(33.979931, -118.465085)"
CC321,201 N. FIGUEROA ST,Single-Space,TOD,$0.5 - $1.5,2HR,8A-6P Mon-Fri,,"(34.058949, -118.2506)"
CB3267,500 E. 8TH ST,Single-Space,TOD,$0.5 - $6,2HR,8A-6P Mon-Sat,,"(34.039504, -118.24986)"
CT2A,1001 ALAMEDA ST,Single-Space,TOD,$0.5 - $1,2HR,TANS 7A-9A Mon-Fri | PKG 9A-8P Mon-Sat,4A-630A Thu,"(34.059794, -118.23684)"
SC356,11500 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.139962, -118.384177)"
LH25,2400 BROADWAY,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,,"(34.073533, -118.216339)"
LT338,300 OMAR AVE,Single-Space,FLAT,$0.50,4HR,8A-6P Mon-Sat,1A-4A Wed,"(34.045597, -118.241943)"
HO281,1501 VINE ST,Single-Space,TOD,$1.5 - $2,2HR,"8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,"(34.099384, -118.32679)"
VW355,600 CATALINA ST,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,8A-10A Wed,"(34.062644, -118.295288)"
CT559,700 NEW HIGH ST,Single-Space,TOD,$0.5 - $1.5,4HR,8A-8P Mon-Sat,4A-630A Thu,"(34.061225, -118.237986)"
HP208,101 W AVE 56,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,4A-630A Wed,"(34.109397, -118.194456)"
HW247,1601 ALEXANDRIA AV,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,12P-3P Fri,"(34.101549, -118.298403)"
LT74,301 E 2ND ST,Single-Space,TOD,$0.5 - $4,2HR,8A-8P Mon-Sat,,"(34.049093, -118.241284)"
C1201,3000 MCCLINTOCK AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,8A-11A Wed,"(34.026539, -118.285794)"
SL416,2800 SUNSET BL,Single-Space,FLAT,$1.00,15MIN,8A-8P Mon-Sat,,"(34.082697, -118.273211)"
CC966,900 W SUNSET BLVD,Single-Space,JUMP,$0.5\hr - $2\6hr,6HR,TANS 7A-9A Mon-Fri | PKG 9A-6P Mon-Sat,,"(34.06406, -118.248136)"
CB4467,501 S BROADWAY,Single-Space,TOD,$3 - $4,2HR,8A-8P Mon-Sat,,"(34.04755, -118.251292)"
NH620,4701 LANKERSHIM BL,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.156276, -118.369554)"
ED433,1100 E PICO BLVD,Single-Space,JUMP,$0.5\hr - $2\10hr,10HR,8A-6P Mon-Sat,,"(34.030186, -118.248135)"
SO553,14201 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.15002, -118.44263)"
CT396,801 N. SPRING ST,Single-Space,TOD,$0.5 - $4,2HR,8A-8P Mon-Sat,4A-630A Thu,"(34.062981, -118.236469)"
SO59,14500 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.15114, -118.450617)"
CP186,21500 SHERMAN WY,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.200925, -118.599317)"
SL288,3301 SUNSET BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.086628, -118.275264)"
VN306,14500 FRIAR ST,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,8A-10A Mon,"(34.185622, -118.45001)"
CB1221,1001 S. OLIVE ST,Single-Space,TOD,$0.5 - $1.5,4HR,8A-8P Mon-Sat,,"(34.041545, -118.260373)"
R391,6901 RESEDA BL,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,4A-630A Mon-Fri,"(34.196476, -118.536162)"
SA113,1201 LEMOYNE ST,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,10A-12P Fri,"(34.077241, -118.259696)"
SO471,13700 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.148313, -118.433576)"
VW68,3000 8TH ST,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,,"(34.057669, -118.292437)"
BH70,2201 CESAR E CHAVEZ AV,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.047527, -118.209195)"
WB110,2100 HILL ST,Single-Space,TOD,$0.5 - $2,4HR,8A-6P Mon-Sat,,"(34.02938, -118.268347)"
YO21,1301 AVE 51,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,8A-10A Thu,"(34.121694, -118.204664)"
CT213,401 ALPINE ST,Single-Space,TOD,$0.5 - $4,2HR,"TANS 7A-9A, 4P-6P Mon-Fri | PKG 9A-4P, 6P-8P Mon-Fri, 8A-8P Sat",,"(34.062495, -118.238583)"
BF631A,8401 MELROSE AV,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",8A-10A Tue,"(34.083244, -118.374028)"
VN394,6200 VESPER AV,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,8A-10A Tue,"(34.184389, -118.450831)"
BH56,2301 CESAR E CHAVEZ AV,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.047088, -118.20821)"
WA530,2301 6TH ST,Single-Space,FLAT,$1.00,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat",,"(34.060669, -118.277179)"
WS529,1801 S. PONTIUS AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.044587, -118.442539)"
PM99,9901 VENICE BL,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.023172, -118.399425)"
CP183,21500 SHERMAN WY,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.200923, -118.59956)"
HO11,1600 MCCADDEN PL,Single-Space,TOD,$2 - $3,4HR,"8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,"(34.100671, -118.336923)"
SO487,13700 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.148039, -118.431927)"
WH106,21001 VENTURA BL,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.166876, -118.591732)"
VN1115,14401 KITTRIDGE ST,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,10A-12P Tue,"(34.190734, -118.447205)"
WS127,10801 WELLWORTH AV,Single-Space,FLAT,$1.00,2HR,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat",8A-10A Tue,"(34.05718, -118.442132)"
SS284,11800 SANTA MONICA BL,Single-Space,FLAT,$1.00,2HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat",,"(34.041935, -118.459903)"
SO14A,14501 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.151333, -118.450552)"
TZ506,18600 VENTURA BL,Single-Space,FLAT,$1.00,2HR,TANS 6A-9A Mon-Fri | PKG 9A-8P Mon-Sat,,"(34.170199, -118.539828)"
VW1445,400 SHATTO PL,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.065569, -118.289848)"
WW822,600 NORMANDIE AV,Single-Space,FLAT,$1.00,2HR,TANS 4P-6P Mon-Fri | PKG 8A-4P Mon-Fri,,"(34.062993, -118.300289)"
EN66,15801 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.155856, -118.478975)"
CB1052,1200 S. BROADWAY,Single-Space,TOD,$0.5 - $2,4HR,8A-6P Mon-Sat,,"(34.03754, -118.260694)"
LH224,100 AVE 24,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.073899, -118.216881)"
SV946,6201 AFTON PL,Single-Space,FLAT,$0.50,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.095325, -118.326354)"
R152,7101 RESEDA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.200354, -118.53617)"
CB66,200 E OLYMPIC BL,Single-Space,FLAT,$4.00,2HR,"8A-6P Mon-Sat, 11A-6P Sun",,"(34.039074, -118.255473)"
CB1404,700 S. HOPE ST,Single-Space,FLAT,$5.00,2HR,8A-8P Mon-Sat,,"(34.047468, -118.258055)"
HO488,6301 YUCCA ST,Single-Space,TOD,$1.5 - $3,2HR,"8A-8P Mon-Sat, 11A-8P Sun",8A-10A Mon,"(34.104087, -118.328917)"
WH321,22501 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.167754, -118.61826)"
VW1388,3100 7TH ST,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,10A-1P Wed,"(34.059689, -118.292672)"
HW597,5400 FERNWOOD AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,10A-12P Fri,"(34.095522, -118.308582)"
CB2738,701 SAN PEDRO ST,Single-Space,TOD,$0.5 - $5,2HR,8A-6P Mon-Sat,,"(34.040333, -118.247303)"
SC532,11401 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.139806, -118.379785)"
WW660,651 MARIPOSA AV,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,10A-1P Wed,"(34.060257, -118.298794)"
LM696,100 S. LA BREA AV,Single-Space,FLAT,$1.00,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat, 11A-8P Sun",,"(34.071991, -118.343911)"
SV507A,5801 SUNSET BL,Single-Space,TOD,$0.5 - $1,2HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat, 11A-8P Sun",,"(34.098156, -118.317064)"
WS62,1400 WESTWOOD BL,Single-Space,FLAT,$1.00,2HR,10A-7P Mon-Sat,,"(34.054857, -118.441214)"
MM22A,700 CURSON AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,12P-3P Tue,"(34.061483, -118.355299)"
HP75,101 E AVE 59,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,11A-1P Wed,"(34.11017, -118.190688)"
CB4009,300 E 16TH ST,Single-Space,FLAT,$0.50,4HR,TANS 4P-6P Mon-Fri | PKG 8A-4P Mon-Sat,,"(34.032127, -118.260068)"
CB2829,1501 S OLIVE ST,Single-Space,TOD,$0.5 - $2,4HR,8A-8P Mon-Sat,,"(34.035473, -118.265282)"
WW1237,4100 3RD ST,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,,"(34.068905, -118.303575)"
CB2396,1100 S. SAN PEDRO ST,Single-Space,TOD,$1 - $2,2HR,8A-6P Mon-Sat,,"(34.034706, -118.25242)"
BF154,7700 MELROSE AV,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.083652, -118.35782)"
CB1280,1000 S. GRAND AV,Single-Space,TOD,$0.5 - $1,4HR,8A-8P Mon-Sat,,"(34.042717, -118.260767)"
LM689,100 S. LA BREA AV,Single-Space,FLAT,$1.00,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat, 11A-8P Sun",,"(34.071436, -118.34391)"
WW771,600 MARIPOSA AV,Single-Space,FLAT,$1.00,15MIN,8A-6P Mon-Sat,8A-10A Thu,"(34.062014, -118.299109)"
OS386,11601 OLYMPIC BL,Single-Space,FLAT,$1.00,4HR,8A-6P Mon-Sat,,"(34.0353, -118.446353)"
CB1232A,1101 S. OLIVE ST,Single-Space,TOD,$0.5 - $2,4HR,8A-8P Mon-Sat,,"(34.040323, -118.261511)"
PR120,8900 PICO BL,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.055172, -118.387042)"
BF159,7600 MELROSE AV,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.083634, -118.356975)"
VN437,6401 VESPER AV,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,8A-10A Tue,"(34.187271, -118.450965)"
WS498,11000 MASSACHUSETTS AV,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,8A-10A Fri,"(34.04925, -118.445284)"
MD151A,1701 MARENGO ST,Single-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,4A-630A Thu,"(34.058963, -118.212493)"
WV591,1000 HILGARD AV,Single-Space,TOD,$0.5 - $1,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.060776, -118.441705)"
OS331A,2100 PURDUE AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,8A-10A Thu,"(34.037668, -118.4436)"
WV13,901 LEVERING AV,Single-Space,TOD,$1 - $2,2HR,"8A-8P Mon-Sat, 11A-8P Sun",8A-11A Fri,"(34.063305, -118.44891)"
LT380,300 WALL ST,Single-Space,TOD,$0.5 - $4,2HR,PKG 8A-6P Mon-Sat | NP 7P-7A Nightly,,"(34.047754, -118.243836)"
SS590,1601 PURDUE AV,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.045641, -118.450663)"
R156,7101 RESEDA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.200092, -118.53617)"
SP353,701 CENTRE ST,Single-Space,FLAT,$0.50,2HR,8A-6P Mon-Sat,,"(33.737638, -118.283612)"
BF582,701 HARPER AV,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",8A-10A Mon,"(34.084011, -118.369125)"
SG185,7901 SUNSET BL,Single-Space,FLAT,$1.00,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P, 7P-9P Mon-Fri, 8A-9P Sat",,"(34.098145, -118.36338)"
P299,100 ENTRADA DR,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.028241, -118.518064)"
WP80,3101 VIA DOLCE,Single-Space,FLAT,$1.00,2HR,8A-6P Daily,10A-12P Mon,"(33.980194, -118.462887)"
WF507,600 SAN VICENTE BL,Single-Space,JUMP,$1\hr - $4\10hr,10HR,"8A-8P Mon-Sat, 11A-8P Sun",12A-6A Tue,"(34.064732, -118.372157)"
CB1965,100 E 14TH ST,Single-Space,TOD,$0.5 - $1.5,2HR,8A-6P Mon-Sat,,"(34.03483, -118.260455)"
SG15,1501 GARDNER ST,Single-Space,FLAT,$1.00,2HR,8A-9P Mon-Sat,11A-2P Mon,"(34.098371, -118.352899)"
EN1038,4800 BALBOA AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.158864, -118.501574)"
LH36,2600 BROADWAY,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,,"(34.073552, -118.214978)"
NH689,4301 LANKERSHIM BL,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.148696, -118.36497)"
SV327,6100 SUNSET BL,Single-Space,TOD,$0.5 - $1,2HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat, 11A-8P Sun",,"(34.097904, -118.323142)"
P140,15100 SUNSET BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.045599, -118.523791)"
SW289,5701 MELROSE AV,Single-Space,FLAT,$1.00,1HR,"TANS 7A-9A, 3P-7P Mon-Fri | PKG 9A-3P Mon-Sat",,"(34.083562, -118.325634)"
OS874,2300 PURDUE AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.035452, -118.441699)"
CB853,201 E PICO BLVD,Single-Space,TOD,$0.5 - $2,2HR,"8A-6P Mon-Sat, 11A-6P Sun",,"(34.03532, -118.258464)"
EN512,18001 VENTURA BL,Single-Space,FLAT,$1.00,2HR,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat",,"(34.165015, -118.525509)"
BH309,2200 1ST ST,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.044354, -118.211689)"
CT178,901 N. BROADWAY,Single-Space,TOD,$1.5 - $4,2HR,TANS 7A-9A Mon-Fri | PKG 9A-8P Mon-Sat,,"(34.066271, -118.236322)"
CT513,1001 ALAMEDA ST,Single-Space,TOD,$0.5 - $1,2HR,TANS 7A-9A Mon-Fri | PKG 9A-8P Mon-Sat,,"(34.06125, -118.236528)"
EN205,16601 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.158682, -118.498121)"
VN643,6100 SYLMAR AV,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.181865, -118.446458)"
BF377,7900 MELROSE AV,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.083694, -118.362964)"
VW1929A,701 WESTMORELAND AV,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,12P-2P Thu,"(34.059331, -118.289158)"
TZ46,18300 CLARK ST,Single-Space,FLAT,$1.00,15MIN,8A-8P Mon-Sat,,"(34.169727, -118.534365)"
C958,3650 VERMONT AV,Single-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.020993, -118.291403)"
NH480C,5201 LANKERSHIM BL,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.166529, -118.375729)"
CB1035,1101 S. MAIN ST,Single-Space,FLAT,$0.50,4HR,8A-6P Mon-Sat,,"(34.038264, -118.258949)"
SG6,1500 GARDNER ST,Single-Space,FLAT,$1.00,2HR,8A-9P Mon-Sat,11A-130P Tue,"(34.098684, -118.352775)"
R127,7101 AMIGO AV,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.200781, -118.538662)"
MD139,1801 MARENGO ST,Single-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,4A-630A Thu,"(34.058428, -118.211273)"
BF410,8001 BEVERLY BL,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.076191, -118.365048)"
SVV239,1101 VERMONT AV,Single-Space,FLAT,$1.00,1HR,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat",,"(34.091619, -118.291862)"
OS849,11500 TENNESSEE AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.034844, -118.442978)"
WS806,1900 S. PONTIUS AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.043768, -118.441676)"
SC418,11100 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.141129, -118.372266)"
SO773,4201 HAZELTINE AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,8A-10A Mon,"(34.149041, -118.439526)"
WP155,401 WASHINGTON BL,Single-Space,FLAT,$1.00,2HR,"PKG 8A-5P Mon-Fri, 8A-10A Sat-Sun | PLO 5P-12A Mon-Fri, 10A-12A Sat-Sun",730A-930A Tue,"(33.981495, -118.463019)"
MD29,1900 MARENGO ST,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,4A-630A Fri,"(34.057439, -118.209532)"
VW516,500 COMMONWEALTH AV,Single-Space,FLAT,$1.00,2HR,"PLO 7A-9A, 2P-4P Mon-Fri | PKG 9A-2P, 4P-6P Mon-Fri, 8A-6P Sat",8A-11A Tue,"(34.064431, -118.28557)"
LC66,8401 ROMAINE ST,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",8A-10A Tue,"(34.088839, -118.375944)"
PW321,10500 PICO BL,Single-Space,FLAT,$1.00,2HR,TANS 7A-10A Mon-Fri | PKG 10A-6P Mon-Sat,,"(34.044438, -118.420092)"
WSV204,12000 WILSHIRE BL,Single-Space,FLAT,$1.00,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat",,"(34.044906, -118.466305)"
CB3327,201 W. 9TH ST,Single-Space,TOD,$1 - $6,4HR,"TANS 7A-9A, 3P-7P Mon-Fri | PKG 9A-3P Mon-Fri, 8A-8P Sat",,"(34.04293, -118.256853)"
WP148,401 WASHINGTON BL,Single-Space,FLAT,$1.00,2HR,8A-6P Daily,730A-930A Tue,"(33.981922, -118.462347)"
CB3028,100 E. 4TH ST,Single-Space,TOD,$0.5 - $4,2HR,"TANS 7A-9A, 4P-6P Mon-Fri | PKG 9A-4P, 6P-8P Mon-Fri, 8A-8P Sat | NP 9A-4P, 6P-8P Mon-Fri, 8A-8P Sat",,"(34.047744, -118.246852)"
VN1215,14501 CALVERT ST,Single-Space,TOD,$0.5 - $1,2HR,8A-8P Mon-Sat,8A-10A Tue,"(34.181724, -118.449749)"
WW1197,3801 6TH ST,Single-Space,FLAT,$1.00,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Sat",,"(34.063627, -118.305647)"
WS152,1201 WESTWOOD BL,Single-Space,FLAT,$1.00,2HR,10A-7P Mon-Sat,,"(34.057148, -118.443033)"
VN635,14301 CALVERT ST,Single-Space,JUMP,$1\hr - $4\10hr,10HR,8A-6P Mon-Fri,,"(34.181722, -118.44572)"
WW217,101 N WESTERN AV,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,,"(34.073358, -118.309234)"
WW1778A,500 S ALEXANDRIA AV,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,8A-10A Wed,"(34.06432, -118.297846)"
MM497,300 LA BREA AV,Single-Space,FLAT,$1.00,2HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Sat",9A-11A Thu,"(34.068234, -118.343903)"
RA54,101 ROBERTSON BL,Single-Space,FLAT,$2.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.075974, -118.383823)"
VM11,8301 VERMONT AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(33.963348, -118.291917)"
WA631,601 CARONDELET ST,Single-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,12P-3P Thu,"(34.060708, -118.280237)"
LH111A,2401 SICHEL ST,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,8A-10A Tue,"(34.073983, -118.213153)"
NH719,4101 LANKERSHIM BL,Single-Space,FLAT,$1.00,4HR,8A-6P Mon-Sat,,"(34.144579, -118.362478)"
HO70,1601 CHEROKEE AV,Single-Space,TOD,$1.5 - $3,2HR,"8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,"(34.099979, -118.335089)"
EN320,17001 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.160013, -118.503719)"
VM1,1001 83RD ST,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(33.96373, -118.292078)"
CC1460,300 S. MAIN ST,Single-Space,FLAT,$2.00,15MIN,8A-8P Mon-Sat,,"(34.048541, -118.246696)"
SW312,5700 MELROSE AV,Single-Space,FLAT,$1.00,1HR,"TANS 7A-9A, 3P-7P Mon-Fri | PKG 9A-3P Mon-Sat",,"(34.083421, -118.324408)"
ED236,700 12TH ST,Single-Space,TOD,$0.5 - $1.5,2HR,8A-6P Mon-Sat,,"(34.032631, -118.25132)"
HO97,1601 SCHRADER BL,Single-Space,TOD,$1.5 - $3,2HR,"8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,"(34.101293, -118.332549)"
CC699,400 W CESAR E CHAVEZ,Single-Space,FLAT,$0.50,4HR,"TANS 7A-9A, 4P-6P Mon-Fri | PKG 9A-4P Mon-Sat",,"(34.05905, -118.241399)"
CT130,201 COLLEGE ST,Single-Space,TOD,$0.5 - $1,4HR,"TANS 7A-9A, 3P-6P Mon-Fri | PKG 9A-3P, 6P-8P Mon-Fri, 8A-8P Sat",,"(34.06386, -118.236537)"
LC344,300 ORLANDO AV,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.076392, -118.373096)"
WA234,2100 WILSHIRE BL,Single-Space,FLAT,$1.00,4HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat",,"(34.058401, -118.2765)"
CT93,700 N. BROADWAY,Single-Space,TOD,$0.5 - $3,2HR,"TANS 4P-6P Mon-Fri | PKG 8A-4P, 6P-8P Mon-Fri, 8A-8P Sat",,"(34.061038, -118.23886)"
CB2232,1101 S. SAN JULIAN ST,Single-Space,FLAT,$0.50,4HR,8A-6P Mon-Sat,,"(34.03493, -118.253979)"
EN463,5101 YARMOUTH AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,10A-12P Mon,"(34.163377, -118.520339)"
WB666,101 22ND ST,Single-Space,JUMP,$1\hr - $4\10hr,10HR,8A-6P Mon-Sat,1A-6A Tue,"(34.029231, -118.268324)"
